"","X","Unnamed..0","Date","PlayerID","Training","SessionType","Duration","RPE","SessionLoad","DailyLoad","AcuteLoad","ChronicLoad","AcuteChronicRatio","ObjectiveRating","FocusRating","BestOutOfMyself","SessionTypeMobility.Recovery","SessionTypeGame","SessionTypeSkills","SessionTypeConditioning","SessionTypeStrength","SessionTypeCombat","SessionTypeSpeed","SessionTypeUnknown","BestOutOfMyselfNotAtAll","BestOutOfMyselfAbsolutely","BestOutOfMyselfSomewhat","BestOutOfMyselfUnknown","TimeSinceAugFirst"
"2593",2592,2592,"2018-03-24",3,0,"",60,4,216,580,264.7,459.93,0.58,8,8,"Absolutely",0,0,0,0,0,0,0,1,0,1,0,0,235
"2594",2593,2593,"2018-03-24",5,0,"",60,4,216,580,37,398.93,0.09,8,8,"",0,0,0,0,0,0,0,1,0,0,0,1,235
"2595",2594,2594,"2018-03-24",7,0,"",60,4,216,580,215,421.96,0.51,8,8,"",0,0,0,0,0,0,0,1,0,0,0,1,235
"2596",2595,2595,"2018-03-24",10,0,"",60,4,216,580,124.3,227.5,0.55,8,8,"",0,0,0,0,0,0,0,1,0,0,0,1,235
"2597",2596,2596,"2018-03-24",11,0,"",60,4,216,580,164.4,285.11,0.58,8,8,"Absolutely",0,0,0,0,0,0,0,1,0,1,0,0,235
"2598",2597,2597,"2018-03-24",13,0,"",60,4,216,580,185,305.71,0.61,8,8,"Absolutely",0,0,0,0,0,0,0,1,0,1,0,0,235
"2599",2598,2598,"2018-03-24",15,0,"",60,4,216,580,299.3,161.96,0.92,8,8,"",0,0,0,0,0,0,0,1,0,0,0,1,235
"2600",2599,2599,"2018-03-24",16,0,"",60,4,216,580,158.6,326.96,0.49,8,8,"Absolutely",0,0,0,0,0,0,0,1,0,1,0,0,235
"2601",2600,2600,"2018-03-23",1,1,"Strength",40,3,120,120,67.4,431.14,0.16,8,8,"",0,0,0,0,1,0,0,0,0,0,0,1,234
"2602",2601,2601,"2018-03-23",3,1,"Strength",60,4,240,240,264.7,459.93,0.58,8,8,"Absolutely",0,0,0,0,1,0,0,0,0,1,0,0,234
"2603",2602,2602,"2018-03-23",6,1,"Strength",40,4,160,160,216.6,383.25,0.57,8,8,"",0,0,0,0,1,0,0,0,0,0,0,1,234
"2604",2603,2603,"2018-03-23",7,1,"Strength",45,3,135,135,215,421.96,0.51,8,8,"",0,0,0,0,1,0,0,0,0,0,0,1,234
"2605",2604,2604,"2018-03-23",8,1,"Strength",60,4,240,480,206.9,394.04,0.53,8,8,"",0,0,0,0,1,0,0,0,0,0,0,1,234
"2606",2605,2605,"2018-03-23",8,1,"Conditioning",30,8,240,580,299.3,334.29,0.92,8,8,"",0,0,0,1,0,0,0,0,0,0,0,1,234
"2607",2606,2606,"2018-03-23",10,0,"",60,4,216,580,124.3,227.5,0.55,8,8,"",0,0,0,0,0,0,0,1,0,0,0,1,234
"2608",2607,2607,"2018-03-23",11,1,"Strength",60,3,180,180,164.4,311.39,0.53,8,8,"Absolutely",0,0,0,0,1,0,0,0,0,1,0,0,234
"2609",2608,2608,"2018-03-23",13,1,"Strength",30,4,120,125,185,333.07,0.56,8,8,"Absolutely",0,0,0,0,1,0,0,0,0,1,0,0,234
"2610",2609,2609,"2018-03-23",13,1,"Mobility/Recovery",10,0,5,580,299.3,334.29,0.92,8,8,"Absolutely",1,0,0,0,0,0,0,0,0,1,0,0,234
"2611",2610,2610,"2018-03-23",16,1,"Strength",40,2,80,110,101.9,333,0.31,8,8,"Absolutely",0,0,0,0,1,0,0,0,0,1,0,0,234
"2612",2611,2611,"2018-03-23",16,1,"Mobility/Recovery",30,1,30,580,299.3,334.29,0.92,8,8,"Absolutely",1,0,0,0,0,0,0,0,0,1,0,0,234
"2613",2612,2612,"2018-03-22",1,1,"Skills",30,3,90,215,50.3,426.86,0.12,8,8,"",0,0,1,0,0,0,0,0,0,0,0,1,233
"2614",2613,2613,"2018-03-22",1,1,"Skills",25,5,125,580,299.3,334.29,0.92,8,8,"",0,0,1,0,0,0,0,0,0,0,0,1,233
"2615",2614,2614,"2018-03-22",2,1,"Skills",45,4,180,220,105.1,326.11,0.32,8,8,"",0,0,1,0,0,0,0,0,0,0,0,1,233
"2616",2615,2615,"2018-03-22",2,1,"Game",10,4,40,580,299.3,334.29,0.92,8,8,"",0,1,0,0,0,0,0,0,0,0,0,1,233
"2617",2616,2616,"2018-03-22",3,1,"Skills",60,6,360,637,230.4,451.36,0.51,8,8,"Absolutely",0,0,1,0,0,0,0,0,0,1,0,0,233
"2618",2617,2617,"2018-03-22",3,1,"Game",16,7,112,580,299.3,334.29,0.92,8,8,"Absolutely",0,1,0,0,0,0,0,0,0,1,0,0,233
"2619",2618,2618,"2018-03-22",3,1,"Conditioning",15,7,105,580,299.3,334.29,0.92,8,8,"Absolutely",0,0,0,1,0,0,0,0,0,1,0,0,233
"2620",2619,2619,"2018-03-22",3,1,"Mobility/Recovery",60,1,60,580,299.3,334.29,0.92,8,8,"Absolutely",1,0,0,0,0,0,0,0,0,1,0,0,233
"2621",2620,2620,"2018-03-22",4,1,"Game",38,7,266,532,201.7,358.54,0.56,7,7,"",0,1,0,0,0,0,0,0,0,0,0,1,233
"2622",2621,2621,"2018-03-22",4,1,"Game",38,7,266,580,299.3,334.29,0.92,7,7,"",0,1,0,0,0,0,0,0,0,0,0,1,233
"2623",2622,2622,"2018-03-22",6,1,"Skills",25,5,125,381,193.7,397.36,0.49,8,8,"",0,0,1,0,0,0,0,0,0,0,0,1,233
"2624",2623,2623,"2018-03-22",6,1,"Game",32,8,256,580,299.3,334.29,0.92,8,8,"",0,1,0,0,0,0,0,0,0,0,0,1,233
"2625",2624,2624,"2018-03-22",7,1,"Game",45,7,315,450,195.7,417.14,0.47,8,8,"",0,1,0,0,0,0,0,0,0,0,0,1,233
"2626",2625,2625,"2018-03-22",7,1,"Conditioning",15,5,75,580,299.3,334.29,0.92,8,8,"",0,0,0,1,0,0,0,0,0,0,0,1,233
"2627",2626,2626,"2018-03-22",7,1,"Skills",15,4,60,580,299.3,334.29,0.92,8,8,"",0,0,1,0,0,0,0,0,0,0,0,1,233
"2628",2627,2627,"2018-03-22",8,0,"",60,4,216,580,138.3,376.89,0.37,8,8,"Not at all",0,0,0,0,0,0,0,1,1,0,0,0,233
"2629",2628,2628,"2018-03-22",10,1,"Speed",20,1,20,40,124.3,227.5,0.55,8,8,"",0,0,0,0,0,0,1,0,0,0,0,1,233
"2630",2629,2629,"2018-03-22",10,1,"Mobility/Recovery",20,1,20,580,299.3,334.29,0.92,8,8,"",1,0,0,0,0,0,0,0,0,0,0,1,233
"2631",2630,2630,"2018-03-22",13,1,"Skills",40,5,200,515,167.1,353.89,0.47,8,8,"Not at all",0,0,1,0,0,0,0,0,1,0,0,0,233
"2632",2631,2631,"2018-03-22",13,1,"Conditioning",35,9,315,580,299.3,334.29,0.92,8,8,"Not at all",0,0,0,1,0,0,0,0,1,0,0,0,233
"2633",2632,2632,"2018-03-22",13,1,"Mobility/Recovery",10,0,0,580,299.3,334.29,0.92,8,8,"Not at all",1,0,0,0,0,0,0,0,1,0,0,0,233
"2634",2633,2633,"2018-03-22",16,1,"Game",14,9,126,397,142.9,365.54,0.39,10,10,"Absolutely",0,1,0,0,0,0,0,0,0,1,0,0,233
"2635",2634,2634,"2018-03-22",16,1,"Game",9,9,81,580,299.3,334.29,0.92,10,10,"Absolutely",0,1,0,0,0,0,0,0,0,1,0,0,233
"2636",2635,2635,"2018-03-22",16,1,"Mobility/Recovery",30,1,30,580,299.3,334.29,0.92,10,10,"Absolutely",1,0,0,0,0,0,0,0,0,1,0,0,233
"2637",2636,2636,"2018-03-22",16,1,"Skills",40,4,160,580,299.3,334.29,0.92,10,10,"Absolutely",0,0,1,0,0,0,0,0,0,1,0,0,233
"2638",2637,2637,"2018-03-21",2,1,"Game",16,5,80,280,73.7,318.25,0.23,8,8,"",0,1,0,0,0,0,0,0,0,0,0,1,232
"2639",2638,2638,"2018-03-21",2,1,"Skills",50,4,200,580,299.3,334.29,0.92,8,8,"",0,0,1,0,0,0,0,0,0,0,0,1,232
"2640",2639,2639,"2018-03-21",3,1,"Skills",60,6,360,488,289.4,485.93,0.6,8,8,"Absolutely",0,0,1,0,0,0,0,0,0,1,0,0,232
"2641",2640,2640,"2018-03-21",3,1,"Game",14,7,98,580,299.3,334.29,0.92,8,8,"Absolutely",0,1,0,0,0,0,0,0,0,1,0,0,232
"2642",2641,2641,"2018-03-21",3,1,"Mobility/Recovery",30,1,30,580,299.3,334.29,0.92,8,8,"Absolutely",1,0,0,0,0,0,0,0,0,1,0,0,232
"2643",2642,2642,"2018-03-21",4,1,"Game",32,4,128,448,292.9,348.11,0.84,7,8,"",0,1,0,0,0,0,0,0,0,0,0,1,232
"2644",2643,2643,"2018-03-21",4,1,"Game",40,8,320,580,299.3,334.29,0.92,7,8,"",0,1,0,0,0,0,0,0,0,0,0,1,232
"2645",2644,2644,"2018-03-21",6,1,"Game",40,8,320,420,396.4,392.32,1.01,8,8,"",0,1,0,0,0,0,0,0,0,0,0,1,232
"2646",2645,2645,"2018-03-21",6,1,"Skills",25,4,100,580,299.3,334.29,0.92,8,8,"",0,0,1,0,0,0,0,0,0,0,0,1,232
"2647",2646,2646,"2018-03-21",7,1,"Skills",35,5,175,495,307.9,450.54,0.68,8,8,"",0,0,1,0,0,0,0,0,0,0,0,1,232
"2648",2647,2647,"2018-03-21",7,1,"Game",40,8,320,580,299.3,334.29,0.92,8,8,"",0,1,0,0,0,0,0,0,0,0,0,1,232
"2649",2648,2648,"2018-03-21",8,1,"Game",39,7,273,633,138.3,392.96,0.35,8,8,"",0,1,0,0,0,0,0,0,0,0,0,1,232
"2650",2649,2649,"2018-03-21",8,1,"Game",45,8,360,580,299.3,334.29,0.92,8,8,"",0,1,0,0,0,0,0,0,0,0,0,1,232
"2651",2650,2650,"2018-03-21",9,1,"Conditioning",7,5,35,51,186.6,356.11,0.52,8,8,"",0,0,0,1,0,0,0,0,0,0,0,1,232
"2652",2651,2651,"2018-03-21",9,1,"Conditioning",4,4,16,580,299.3,334.29,0.92,8,8,"",0,0,0,1,0,0,0,0,0,0,0,1,232
"2653",2652,2652,"2018-03-21",10,1,"Mobility/Recovery",30,2,60,300,118.6,244.29,0.49,9,9,"",1,0,0,0,0,0,0,0,0,0,0,1,232
"2654",2653,2653,"2018-03-21",10,1,"Strength",60,4,240,580,299.3,334.29,0.92,9,9,"",0,0,0,0,1,0,0,0,0,0,0,1,232
"2655",2654,2654,"2018-03-21",11,1,"Skills",60,7,420,538,285.1,338.61,0.84,8,8,"Absolutely",0,0,1,0,0,0,0,0,0,1,0,0,232
"2656",2655,2655,"2018-03-21",11,1,"Game",14,7,98,580,299.3,334.29,0.92,8,8,"Absolutely",0,1,0,0,0,0,0,0,0,1,0,0,232
"2657",2656,2656,"2018-03-21",11,1,"Mobility/Recovery",20,1,20,580,299.3,334.29,0.92,8,8,"Absolutely",1,0,0,0,0,0,0,0,0,1,0,0,232
"2658",2657,2657,"2018-03-21",12,1,"Game",45,3,135,135,139.3,206.79,0.67,8,8,"",0,1,0,0,0,0,0,0,0,0,0,1,232
"2659",2658,2658,"2018-03-21",13,1,"Skills",40,5,200,327,247.9,348.89,0.71,8,8,"Not at all",0,0,1,0,0,0,0,0,1,0,0,0,232
"2660",2659,2659,"2018-03-21",13,1,"Skills",20,0,10,580,299.3,334.29,0.92,8,8,"Not at all",0,0,1,0,0,0,0,0,1,0,0,0,232
"2661",2660,2660,"2018-03-21",13,1,"Conditioning",14,8,112,580,299.3,334.29,0.92,8,8,"Not at all",0,0,0,1,0,0,0,0,1,0,0,0,232
"2662",2661,2661,"2018-03-21",13,1,"Mobility/Recovery",10,0,5,580,299.3,334.29,0.92,8,8,"Not at all",1,0,0,0,0,0,0,0,1,0,0,0,232
"2663",2662,2662,"2018-03-21",16,1,"Skills",40,4,160,276,231.9,362.43,0.64,10,10,"",0,0,1,0,0,0,0,0,0,0,0,1,232
"2664",2663,2663,"2018-03-21",16,1,"Game",12,8,96,580,299.3,334.29,0.92,10,10,"",0,1,0,0,0,0,0,0,0,0,0,1,232
"2665",2664,2664,"2018-03-21",16,1,"Mobility/Recovery",20,1,20,580,299.3,334.29,0.92,10,10,"",1,0,0,0,0,0,0,0,0,0,0,1,232
"2666",2665,2665,"2018-03-20",1,1,"Skills",3,4,12,137,322.4,473.82,0.68,8,8,"",0,0,1,0,0,0,0,0,0,0,0,1,231
"2667",2666,2666,"2018-03-20",1,1,"Skills",7,5,35,580,299.3,334.29,0.92,8,8,"",0,0,1,0,0,0,0,0,0,0,0,1,231
"2668",2667,2667,"2018-03-20",1,1,"Skills",30,3,90,580,299.3,334.29,0.92,8,8,"",0,0,1,0,0,0,0,0,0,0,0,1,231
"2669",2668,2668,"2018-03-20",2,1,"Game",9,4,36,236,157.3,337.71,0.47,8,8,"",0,1,0,0,0,0,0,0,0,0,0,1,231
"2670",2669,2669,"2018-03-20",2,1,"Skills",50,4,200,580,299.3,334.29,0.92,8,8,"",0,0,1,0,0,0,0,0,0,0,0,1,231
"2671",2670,2670,"2018-03-20",3,1,"Skills",60,6,360,488,412.6,504.39,0.82,8,8,"Absolutely",0,0,1,0,0,0,0,0,0,1,0,0,231
"2672",2671,2671,"2018-03-20",3,1,"Game",14,7,98,580,299.3,334.29,0.92,8,8,"Absolutely",0,1,0,0,0,0,0,0,0,1,0,0,231
"2673",2672,2672,"2018-03-20",3,1,"Mobility/Recovery",30,1,30,580,299.3,334.29,0.92,8,8,"Absolutely",1,0,0,0,0,0,0,0,0,1,0,0,231
"2674",2673,2673,"2018-03-20",4,1,"Game",42,5,210,432,356,336.39,1.06,7,8,"",0,1,0,0,0,0,0,0,0,0,0,1,231
"2675",2674,2674,"2018-03-20",4,1,"Game",37,6,222,580,299.3,334.29,0.92,7,8,"",0,1,0,0,0,0,0,0,0,0,0,1,231
"2676",2675,2675,"2018-03-20",5,1,"Skills",30,3,90,259,317.7,476.07,0.67,8,8,"",0,0,1,0,0,0,0,0,0,0,0,1,231
"2677",2676,2676,"2018-03-20",5,1,"Game",5,6,30,580,299.3,334.29,0.92,8,8,"",0,1,0,0,0,0,0,0,0,0,0,1,231
"2678",2677,2677,"2018-03-20",5,1,"Skills",30,3,90,580,299.3,334.29,0.92,8,8,"",0,0,1,0,0,0,0,0,0,0,0,1,231
"2679",2678,2678,"2018-03-20",5,1,"Game",7,7,49,580,299.3,334.29,0.92,8,8,"",0,1,0,0,0,0,0,0,0,0,0,1,231
"2680",2679,2679,"2018-03-20",6,1,"Game",45,7,315,555,465,383.75,1.21,8,8,"",0,1,0,0,0,0,0,0,0,0,0,1,231
"2681",2680,2680,"2018-03-20",6,1,"Game",40,6,240,580,299.3,334.29,0.92,8,8,"",0,1,0,0,0,0,0,0,0,0,0,1,231
"2682",2681,2681,"2018-03-20",7,1,"Skills",45,4,180,425,351.4,459.82,0.76,8,8,"",0,0,1,0,0,0,0,0,0,0,0,1,231
"2683",2682,2682,"2018-03-20",7,1,"Game",35,7,245,580,299.3,334.29,0.92,8,8,"",0,1,0,0,0,0,0,0,0,0,0,1,231
"2684",2683,2683,"2018-03-20",8,1,"Game",37,5,185,335,47.9,388.21,0.12,8,8,"",0,1,0,0,0,0,0,0,0,0,0,1,231
"2685",2684,2684,"2018-03-20",8,1,"Skills",50,3,150,580,299.3,334.29,0.92,8,8,"",0,0,1,0,0,0,0,0,0,0,0,1,231
"2686",2685,2685,"2018-03-20",9,1,"Game",10,7,70,140,227.1,367.68,0.62,4,6,"Somewhat",0,1,0,0,0,0,0,0,0,0,1,0,231
"2687",2686,2686,"2018-03-20",9,1,"Game",7,1,70,580,299.3,334.29,0.92,4,6,"Somewhat",0,1,0,0,0,0,0,0,0,0,1,0,231
"2688",2687,2687,"2018-03-20",10,1,"Conditioning",25,5,125,135,148.6,250.71,0.59,8,8,"",0,0,0,1,0,0,0,0,0,0,0,1,231
"2689",2688,2688,"2018-03-20",10,1,"Mobility/Recovery",20,0,10,580,299.3,334.29,0.92,8,8,"",1,0,0,0,0,0,0,0,0,0,0,1,231
"2690",2689,2689,"2018-03-20",11,1,"Skills",60,3,180,433,350.4,323.68,1.08,8,8,"Absolutely",0,0,1,0,0,0,0,0,0,1,0,0,231
"2691",2690,2690,"2018-03-20",11,1,"Game",2,1,2,580,299.3,334.29,0.92,8,8,"Absolutely",0,1,0,0,0,0,0,0,0,1,0,0,231
"2692",2691,2691,"2018-03-20",11,1,"Skills",35,4,140,580,299.3,334.29,0.92,8,8,"Absolutely",0,0,1,0,0,0,0,0,0,1,0,0,231
"2693",2692,2692,"2018-03-20",11,1,"Game",11,6,66,580,299.3,334.29,0.92,8,8,"Absolutely",0,1,0,0,0,0,0,0,0,1,0,0,231
"2694",2693,2693,"2018-03-20",11,1,"Mobility/Recovery",45,1,45,580,299.3,334.29,0.92,8,8,"Absolutely",1,0,0,0,0,0,0,0,0,1,0,0,231
"2695",2694,2694,"2018-03-20",12,1,"Game",30,3,90,90,199.3,208.39,0.96,8,8,"",0,1,0,0,0,0,0,0,0,0,0,1,231
"2696",2695,2695,"2018-03-20",13,1,"Skills",40,5,200,328,329.7,343.64,0.96,8,8,"Not at all",0,0,1,0,0,0,0,0,1,0,0,0,231
"2697",2696,2696,"2018-03-20",13,1,"Skills",40,1,40,580,299.3,334.29,0.92,8,8,"Not at all",0,0,1,0,0,0,0,0,1,0,0,0,231
"2698",2697,2697,"2018-03-20",13,1,"Conditioning",11,8,88,580,299.3,334.29,0.92,8,8,"Not at all",0,0,0,1,0,0,0,0,1,0,0,0,231
"2699",2698,2698,"2018-03-20",13,1,"Mobility/Recovery",10,0,0,580,299.3,334.29,0.92,8,8,"Not at all",1,0,0,0,0,0,0,0,1,0,0,0,231
"2700",2699,2699,"2018-03-20",14,1,"Game",40,6,240,480,347.1,317.32,1.09,7,8,"",0,1,0,0,0,0,0,0,0,0,0,1,231
"2701",2700,2700,"2018-03-20",14,1,"Game",40,6,240,580,299.3,334.29,0.92,7,8,"",0,1,0,0,0,0,0,0,0,0,0,1,231
"2702",2701,2701,"2018-03-20",16,1,"Game",7,7,49,327,306,359.36,0.85,10,10,"Absolutely",0,1,0,0,0,0,0,0,0,1,0,0,231
"2703",2702,2702,"2018-03-20",16,1,"Game",11,8,88,580,299.3,334.29,0.92,10,10,"Absolutely",0,1,0,0,0,0,0,0,0,1,0,0,231
"2704",2703,2703,"2018-03-20",16,1,"Skills",40,4,160,580,299.3,334.29,0.92,10,10,"Absolutely",0,0,1,0,0,0,0,0,0,1,0,0,231
"2705",2704,2704,"2018-03-20",16,1,"Mobility/Recovery",30,1,30,580,299.3,334.29,0.92,10,10,"Absolutely",1,0,0,0,0,0,0,0,0,1,0,0,231
"2706",2705,2705,"2018-03-19",1,0,"",60,4,216,580,373.6,482.86,0.77,8,8,"",0,0,0,0,0,0,0,1,0,0,0,1,230
"2707",2706,2706,"2018-03-19",3,0,"",60,4,216,580,385.7,501.96,0.77,8,8,"Absolutely",0,0,0,0,0,0,0,1,0,1,0,0,230
"2708",2707,2707,"2018-03-19",7,0,"",60,4,216,580,333.6,460.71,0.72,8,8,"",0,0,0,0,0,0,0,1,0,0,0,1,230
"2709",2708,2708,"2018-03-19",9,0,"",60,4,216,580,207.1,382.5,0.54,8,8,"",0,0,0,0,0,0,0,1,0,0,0,1,230
"2710",2709,2709,"2018-03-19",9,0,"",60,4,216,580,207.1,382.5,0.54,8,8,"",0,0,0,0,0,0,0,1,0,0,0,1,230
"2711",2710,2710,"2018-03-19",10,1,"Speed",20,1,20,395,157.1,251.79,0.62,10,9,"",0,0,0,0,0,0,1,0,0,0,0,1,230
"2712",2711,2711,"2018-03-19",10,1,"Strength",75,5,375,580,299.3,334.29,0.92,10,9,"",0,0,0,0,1,0,0,0,0,0,0,1,230
"2713",2712,2712,"2018-03-19",11,0,"",60,4,216,580,330,308.21,1.07,8,8,"Absolutely",0,0,0,0,0,0,0,1,0,1,0,0,230
"2714",2713,2713,"2018-03-19",12,0,"",60,4,216,580,207.9,205.18,1.01,8,8,"",0,0,0,0,0,0,0,1,0,0,0,1,230
"2715",2714,2714,"2018-03-19",13,0,"",60,4,216,580,318.6,331.93,0.96,8,8,"Absolutely",0,0,0,0,0,0,0,1,0,1,0,0,230
"2716",2715,2715,"2018-03-19",15,0,"",60,4,216,580,105.7,165.18,0.64,8,8,"",0,0,0,0,0,0,0,1,0,0,0,1,230
"2717",2716,2716,"2018-03-19",16,0,"",60,4,216,580,289.3,347.68,0.83,8,8,"",0,0,0,0,0,0,0,1,0,0,0,1,230
"2718",2717,2717,"2018-03-18",1,0,"",60,4,216,580,416.4,519.64,0.8,8,8,"",0,0,0,0,0,0,0,1,0,0,0,1,229
"2719",2718,2718,"2018-03-18",2,0,"",60,4,216,580,230.7,363.04,0.64,8,8,"",0,0,0,0,0,0,0,1,0,0,0,1,229
"2720",2719,2719,"2018-03-18",3,0,"",60,4,216,580,445.7,520.18,0.86,8,8,"",0,0,0,0,0,0,0,1,0,0,0,1,229
"2721",2720,2720,"2018-03-18",7,0,"",60,4,216,580,408.6,486.43,0.84,8,8,"",0,0,0,0,0,0,0,1,0,0,0,1,229
"2722",2721,2721,"2018-03-18",9,0,"",60,4,216,580,274.3,382.5,0.72,8,8,"",0,0,0,0,0,0,0,1,0,0,0,1,229
"2723",2722,2722,"2018-03-18",10,0,"",60,4,216,580,121.4,264.82,0.46,8,8,"",0,0,0,0,0,0,0,1,0,0,0,1,229
"2724",2723,2723,"2018-03-18",11,0,"",60,4,216,580,387.9,308.21,1.26,8,8,"Absolutely",0,0,0,0,0,0,0,1,0,1,0,0,229
"2725",2724,2724,"2018-03-18",12,0,"",60,4,216,580,259.3,205.18,1.26,8,8,"",0,0,0,0,0,0,0,1,0,0,0,1,229
"2726",2725,2725,"2018-03-18",13,1,"Mobility/Recovery",30,0,0,0,400,331.93,1.21,8,8,"Not at all",1,0,0,0,0,0,0,0,1,0,0,0,229
"2727",2726,2726,"2018-03-18",16,0,"",60,4,216,580,362.1,347.68,1.04,8,8,"",0,0,0,0,0,0,0,1,0,0,0,1,229
"2728",2727,2727,"2018-03-17",1,0,"",60,4,216,580,574.3,548.39,1.05,8,8,"",0,0,0,0,0,0,0,1,0,0,0,1,228
"2729",2728,2728,"2018-03-17",2,0,"",60,4,216,580,350.7,363.04,0.97,8,8,"Not at all",0,0,0,0,0,0,0,1,1,0,0,0,228
"2730",2729,2729,"2018-03-17",3,0,"",60,4,216,580,638.6,558.75,1.14,8,8,"Absolutely",0,0,0,0,0,0,0,1,0,1,0,0,228
"2731",2730,2730,"2018-03-17",5,0,"",60,4,216,580,583.9,535.39,1.09,8,8,"",0,0,0,0,0,0,0,1,0,0,0,1,228
"2732",2731,2731,"2018-03-17",6,0,"",60,4,216,580,666.4,372.5,1.79,8,8,"",0,0,0,0,0,0,0,1,0,0,0,1,228
"2733",2732,2732,"2018-03-17",7,0,"",60,4,216,580,575.7,521.07,1.1,8,8,"",0,0,0,0,0,0,0,1,0,0,0,1,228
"2734",2733,2733,"2018-03-17",9,1,"Conditioning",60,9,540,540,334.3,413.57,0.81,8,8,"",0,0,0,1,0,0,0,0,0,0,0,1,228
"2735",2734,2734,"2018-03-17",11,0,"",60,4,216,580,585,316.25,1.85,8,8,"Absolutely",0,0,0,0,0,0,0,1,0,1,0,0,228
"2736",2735,2735,"2018-03-17",12,0,"",60,4,216,580,368.6,205.18,1.8,8,8,"",0,0,0,0,0,0,0,1,0,0,0,1,228
"2737",2736,2736,"2018-03-17",13,1,"Mobility/Recovery",30,0,0,0,592.9,344.25,1.72,8,8,"Not at all",1,0,0,0,0,0,0,0,1,0,0,0,228
"2738",2737,2737,"2018-03-17",16,0,"",60,4,216,580,349.3,318.04,1.1,8,8,"",0,0,0,0,0,0,0,1,0,0,0,1,228
"2739",2738,2738,"2018-03-16",1,1,"Skills",90,6,540,1190,574.3,548.39,1.05,8,8,"",0,0,1,0,0,0,0,0,0,0,0,1,227
"2740",2739,2739,"2018-03-16",1,1,"Strength",130,5,650,580,299.3,334.29,0.92,8,8,"",0,0,0,0,1,0,0,0,0,0,0,1,227
"2741",2740,2740,"2018-03-16",3,1,"Skills",60,7,420,1050,638.6,558.75,1.14,8,8,"Absolutely",0,0,1,0,0,0,0,0,0,1,0,0,227
"2742",2741,2741,"2018-03-16",3,1,"Strength",90,7,630,580,299.3,334.29,0.92,8,8,"Absolutely",0,0,0,0,1,0,0,0,0,1,0,0,227
"2743",2742,2742,"2018-03-16",4,1,"Skills",60,9,540,1170,525.7,331.68,1.58,8,8,"",0,0,1,0,0,0,0,0,0,0,0,1,227
"2744",2743,2743,"2018-03-16",4,1,"Strength",90,7,630,580,299.3,334.29,0.92,8,8,"",0,0,0,0,1,0,0,0,0,0,0,1,227
"2745",2744,2744,"2018-03-16",5,1,"Conditioning",60,7,420,870,583.9,535.39,1.09,8,9,"",0,0,0,1,0,0,0,0,0,0,0,1,227
"2746",2745,2745,"2018-03-16",5,1,"Strength",90,5,450,580,299.3,334.29,0.92,8,9,"",0,0,0,0,1,0,0,0,0,0,0,1,227
"2747",2746,2746,"2018-03-16",6,1,"Skills",90,9,810,1800,666.4,372.5,1.79,8,8,"",0,0,1,0,0,0,0,0,0,0,0,1,227
"2748",2747,2747,"2018-03-16",6,1,"Strength",110,9,990,580,299.3,334.29,0.92,8,8,"",0,0,0,0,1,0,0,0,0,0,0,1,227
"2749",2748,2748,"2018-03-16",7,1,"Conditioning",75,9,675,1235,575.7,521.07,1.1,8,8,"",0,0,0,1,0,0,0,0,0,0,0,1,227
"2750",2749,2749,"2018-03-16",7,1,"Strength",80,7,560,580,299.3,334.29,0.92,8,8,"",0,0,0,0,1,0,0,0,0,0,0,1,227
"2751",2750,2750,"2018-03-16",9,1,"Strength",115,5,575,575,257.1,397.5,0.65,8,8,"",0,0,0,0,1,0,0,0,0,0,0,1,227
"2752",2751,2751,"2018-03-16",11,1,"Skills",25,3,75,1025,585,316.25,1.85,8,8,"Absolutely",0,0,1,0,0,0,0,0,0,1,0,0,227
"2753",2752,2752,"2018-03-16",11,1,"Conditioning",40,8,320,580,299.3,334.29,0.92,8,8,"Absolutely",0,0,0,1,0,0,0,0,0,1,0,0,227
"2754",2753,2753,"2018-03-16",11,1,"Strength",90,7,630,580,299.3,334.29,0.92,8,8,"Absolutely",0,0,0,0,1,0,0,0,0,1,0,0,227
"2755",2754,2754,"2018-03-16",12,1,"Conditioning",60,5,300,750,368.6,205.18,1.8,8,8,"",0,0,0,1,0,0,0,0,0,0,0,1,227
"2756",2755,2755,"2018-03-16",12,1,"Strength",90,5,450,580,299.3,334.29,0.92,8,8,"",0,0,0,0,1,0,0,0,0,0,0,1,227
"2757",2756,2756,"2018-03-16",13,1,"Skills",60,3,180,1080,592.9,344.25,1.72,8,8,"Not at all",0,0,1,0,0,0,0,0,1,0,0,0,227
"2758",2757,2757,"2018-03-16",13,1,"Conditioning",30,9,270,580,299.3,334.29,0.92,8,8,"Not at all",0,0,0,1,0,0,0,0,1,0,0,0,227
"2759",2758,2758,"2018-03-16",13,1,"Strength",90,7,630,580,299.3,334.29,0.92,8,8,"Not at all",0,0,0,0,1,0,0,0,1,0,0,0,227
"2760",2759,2759,"2018-03-16",14,1,"Conditioning",60,8,480,1020,462.9,300.18,1.54,7,5,"",0,0,0,1,0,0,0,0,0,0,0,1,227
"2761",2760,2760,"2018-03-16",14,1,"Strength",90,6,540,580,299.3,334.29,0.92,7,5,"",0,0,0,0,1,0,0,0,0,0,0,1,227
"2762",2761,2761,"2018-03-16",15,1,"Speed",60,3,180,740,215,165.18,1.3,8,9,"",0,0,0,0,0,0,1,0,0,0,0,1,227
